23-01-08 13:57:49 INFO : 	program 3 GL_VALIDATE_STATUS = 1
23-01-08 13:57:49 INFO : 	-----------------------------
23-01-08 13:57:49 INFO : 	Shader programme 3 info:
23-01-08 13:57:49 INFO : 	GL_LINK_STATUS = 1
23-01-08 13:57:49 INFO : 	GL_ATTACHED_SHADERS = 2
23-01-08 13:57:49 INFO : 	GL_ACTIVE_ATTRIBUTES = 1
23-01-08 13:57:49 INFO : 	  0) type:vec3 name:aPos location:0
23-01-08 13:57:49 INFO : 	GL_ACTIVE_UNIFORMS = 4
23-01-08 13:57:49 INFO : 	  0) type:mat4 name:projection location:0
23-01-08 13:57:49 INFO : 	  1) type:mat4 name:view location:1
23-01-08 13:57:49 INFO : 	  2) type:mat4 name:transform location:5
23-01-08 13:57:49 INFO : 	  3) type:vec4 name:soldier_color location:9
23-01-08 13:57:49 INFO : 	program info log for GL index3
23-01-08 13:57:49 INFO : 	
